Datetime,Open,High,Low,Close,Volume
2024-10-22 09:00:00,1.08185,1.08284,1.08176,1.08245,2575
2024-10-22 10:00:00,1.08244,1.08376,1.08203,1.0836,3708
2024-10-22 11:00:00,1.08359,1.08366,1.08255,1.08263,2752
2024-10-22 12:00:00,1.08264,1.08302,1.08142,1.08151,2710
2024-10-22 13:00:00,1.08152,1.08289,1.08139,1.08284,2877
2024-10-22 14:00:00,1.08285,1.08285,1.08145,1.0817,2573
2024-10-22 15:00:00,1.08171,1.08212,1.08106,1.08112,3600
2024-10-22 16:00:00,1.08111,1.0818,1.08009,1.08071,5703
2024-10-22 17:00:00,1.08069,1.08129,1.08004,1.08092,4910
2024-10-22 18:00:00,1.08091,1.0815,1.08036,1.0804,3304
2024-10-22 19:00:00,1.08041,1.08139,1.08027,1.08077,2251
2024-10-22 20:00:00,1.08076,1.08083,1.08009,1.08024,2353
2024-10-22 21:00:00,1.08023,1.08036,1.07992,1.07992,1193
2024-10-22 22:00:00,1.07991,1.08014,1.07935,1.07943,1863
2024-10-22 23:00:00,1.07941,1.07986,1.07921,1.0795,1316
2024-10-23 00:00:00,1.07971,1.07984,1.07952,1.07981,641
2024-10-23 01:00:00,1.07974,1.07994,1.07964,1.07979,595
2024-10-23 02:00:00,1.0798,1.0798,1.07958,1.07959,551
2024-10-23 03:00:00,1.07958,1.08003,1.07917,1.07947,1737
2024-10-23 04:00:00,1.07949,1.07979,1.07932,1.07944,2551
2024-10-23 05:00:00,1.07943,1.08049,1.07943,1.08041,2152
2024-10-23 06:00:00,1.08044,1.08048,1.07982,1.08018,1609
2024-10-23 07:00:00,1.08019,1.08023,1.0799,1.08017,1717
2024-10-23 08:00:00,1.08018,1.08063,1.08017,1.08058,2264
2024-10-23 09:00:00,1.08059,1.08059,1.0792,1.0792,2948
2024-10-23 10:00:00,1.07917,1.07917,1.07802,1.07811,4064
2024-10-23 11:00:00,1.07807,1.07911,1.07789,1.07877,3113
2024-10-23 12:00:00,1.07878,1.07889,1.07808,1.07819,2944
2024-10-23 13:00:00,1.07818,1.07829,1.07769,1.07771,2462
2024-10-23 14:00:00,1.07772,1.07794,1.07626,1.07628,3090
2024-10-23 15:00:00,1.07632,1.07745,1.07608,1.07739,4300
2024-10-23 16:00:00,1.07742,1.07827,1.07691,1.07747,4189
2024-10-23 17:00:00,1.07744,1.0782,1.07703,1.0774,4892
2024-10-23 18:00:00,1.07741,1.07859,1.07735,1.07783,3576
2024-10-23 19:00:00,1.07782,1.07786,1.07701,1.07726,2854
2024-10-23 20:00:00,1.07725,1.07742,1.07668,1.0768,2812
2024-10-23 21:00:00,1.07679,1.07819,1.07679,1.07801,2947
2024-10-23 22:00:00,1.078,1.07861,1.07795,1.07858,2052
2024-10-23 23:00:00,1.07857,1.07859,1.07799,1.07799,1619
2024-10-24 00:00:00,1.07801,1.07835,1.07798,1.07823,342
2024-10-24 01:00:00,1.07823,1.07829,1.07795,1.0782,550
2024-10-24 02:00:00,1.07821,1.07842,1.07788,1.07797,807
2024-10-24 03:00:00,1.07795,1.07894,1.07793,1.07883,2833
2024-10-24 04:00:00,1.07886,1.07888,1.07815,1.07824,2547
2024-10-24 05:00:00,1.07825,1.07884,1.07807,1.07871,1903
2024-10-24 06:00:00,1.0787,1.07886,1.07846,1.07865,1124
